"Status","Species.Listing.Name","kingdom","organism","species","rank","class","taxonkey"
"E","Sheep, Peninsular bighornÂ Peninsular CA pop.                          (Ovis canadensis nelsoni)","animal","Sheep","Ovis canadensis nelsoni","SUBSPECIES","Mammalia",2441119
"E","Sheep, Sierra Nevada bighornÂ Sierra Nevada                          (Ovis canadensis sierrae)","animal","Sheep","Ovis canadensis sierrae","SUBSPECIES","Mammalia",2441119
"E","Shrew, Buena Vista Lake ornateÂ Wherever found                          (Sorex ornatus relictus)","animal","Shrew","Sorex ornatus relictus","SUBSPECIES","Mammalia",2436078
"E","Shrike, San Clemente loggerheadÂ Wherever found                          (Lanius ludovicianus mearnsi)","animal","Shrike","Lanius ludovicianus mearnsi","SUBSPECIES","Aves",2492870
"E","Shrimp, California freshwaterÂ Wherever found                          (Syncaris pacifica)","animal","Shrimp","Syncaris pacifica","SPECIES","Malacostraca",2223027
"E","Skipper, Carson wanderingÂ Wherever found                          (Pseudocopaeodes eunus obscurus)","animal","Skipper","Pseudocopaeodes eunus obscurus","SUBSPECIES","Insecta",1950192
"E","Skipper, Laguna MountainsÂ Wherever found                          (Pyrgus ruralis lagunae)","animal","Skipper","Pyrgus ruralis lagunae","SUBSPECIES","Insecta",5142372
"T","Smelt, deltaÂ Wherever found                          (Hypomesus transpacificus)","animal","Smelt","Hypomesus transpacificus","SPECIES","Actinopterygii",2410879
"E","Snail, Morro shoulderband (=Banded dune)Â Wherever found                          (Helminthoglypta walkeriana)","animal","Snail","Helminthoglypta walkeriana","SPECIES","Gastropoda",2296175
"T","Snake, giant garterÂ Wherever found                          (Thamnophis gigas)","animal","Snake","Thamnophis gigas","SPECIES","Reptilia",2457491
"E","Snake, San Francisco garterÂ Wherever found                          (Thamnophis sirtalis tetrataenia)","animal","Snake","Thamnophis sirtalis tetrataenia","SUBSPECIES","Reptilia",2457522
"T","Sparrow, San Clemente sageÂ Wherever found                          (Amphispiza belli clementeae)","animal","Sparrow","Amphispiza belli clementeae","SUBSPECIES","Aves",6100797
"T","SteelheadÂ Central California Coast DPS                          (Oncorhynchus (=Salmo) mykiss)","animal","SteelheadÂ Central California Coast DPS                          (Oncorhynchus (=Salmo) mykiss)","Oncorhynchus mykiss","SPECIES","Actinopterygii",5204019
"T","SteelheadÂ Northern California DPS                          (Oncorhynchus (=Salmo) mykiss)","animal","SteelheadÂ Northern California DPS                          (Oncorhynchus (=Salmo) mykiss)","Oncorhynchus mykiss","SPECIES","Actinopterygii",5204019
"E","SteelheadÂ Southern California DPS                          (Oncorhynchus (=Salmo) mykiss)","animal","SteelheadÂ Southern California DPS                          (Oncorhynchus (=Salmo) mykiss)","Oncorhynchus mykiss","SPECIES","Actinopterygii",5204019
"E","Stickleback, unarmored threespineÂ Wherever found                          (Gasterosteus aculeatus williamsoni)","animal","Stickleback","Gasterosteus aculeatus williamsoni","SUBSPECIES","Actinopterygii",4286327
"T","sturgeon, greenÂ Southern DPS                          (Acipenser medirostris)","animal","sturgeon","Acipenser medirostris","SPECIES","Actinopterygii",2402118
"T","Sucker, Santa AnaÂ 3 CA river basins                          (Catostomus santaanae)","animal","Sucker","Catostomus santaanae","SPECIES","Actinopterygii",2359031
"T","Sucker, WarnerÂ Wherever found                          (Catostomus warnerensis)","animal","Sucker","Catostomus warnerensis","SPECIES","Actinopterygii",2359059
"E","Sucker, shortnoseÂ Wherever found                          (Chasmistes brevirostris)","animal","Sucker","Chasmistes brevirostris","SPECIES","Actinopterygii",2359089
"E","Sucker, Lost RiverÂ Wherever found                          (Deltistes luxatus)","animal","Sucker","Deltistes luxatus","SPECIES","Actinopterygii",2358958
"E","Sucker, razorbackÂ Wherever found                          (Xyrauchen texanus)","animal","Sucker","Xyrauchen texanus","SPECIES","Actinopterygii",2359095
"E","Tadpole shrimp, vernal poolÂ Wherever found                          (Lepidurus packardi)","animal","Tadpole shrimp","Lepidurus packardi","SPECIES","Branchiopoda",5180071
"E","Tern, California leastÂ Wherever found                          (Sterna antillarum browni)","animal","Tern","Sterna antillarum browni","SUBSPECIES","Aves",5789285
"E","Tiger beetle, OhloneÂ Wherever found                          (Cicindela ohlone)","animal","Tiger beetle","Cicindela ohlone","SPECIES","Insecta",1034911
"E","Toad, arroyo (=arroyo southwestern)Â Wherever found                          (Anaxyrus californicus)","animal","Toad","Anaxyrus californicus","SPECIES","Amphibia",2422897
"T","toad, YosemiteÂ Wherever found                          (Anaxyrus canorus)","animal","toad","Anaxyrus canorus","SPECIES","Amphibia",2422932
"T","Tortoise, desertÂ Wherever found, except AZ south and east of Colorado R., and Mexico                          (Gopherus agassizii)","animal","Tortoise","Gopherus agassizii","SPECIES","Reptilia",2441814
"T","Towhee, Inyo CaliforniaÂ Wherever found                          (Pipilo crissalis eremophilus)","animal","Towhee","Pipilo crissalis eremophilus","SUBSPECIES","Aves",7341600
"T","Trout, Little Kern goldenÂ Wherever found                          (Oncorhynchus aguabonita whitei)","animal","Trout","Oncorhynchus aguabonita whitei","SPECIES","Actinopterygii",5204029
"T","Trout, Lahontan cutthroatÂ Wherever found                          (Oncorhynchus clarkii henshawi)","animal","Trout","Oncorhynchus clarkii henshawi","SUBSPECIES","Actinopterygii",5711980
"T","Trout, Paiute cutthroatÂ Wherever found                          (Oncorhynchus clarkii seleniris)","animal","Trout","Oncorhynchus clarkii seleniris","SUBSPECIES","Actinopterygii",5711980
"E","Tui chub, MohaveÂ Wherever found                          (Gila bicolor ssp. mohavensis)","animal","Tui chub","Gila bicolor  mohavensis","SUBSPECIES","Actinopterygii",8197854
"E","Vireo, least Bell'sÂ Wherever found                          (Vireo bellii pusillus)","animal","Vireo","Vireo bellii pusillus","SUBSPECIES","Aves",2487441
"E","Vole, AmargosaÂ Wherever found                          (Microtus californicus scirpensis)","animal","Vole","Microtus californicus scirpensis","SUBSPECIES","Mammalia",2438603
"E","Whale, SeiÂ Wherever found                          (Balaenoptera borealis)","animal","Whale","Balaenoptera borealis","SPECIES","Mammalia",2440709
"E","Whale, blueÂ Wherever found                          (Balaenoptera musculus)","animal","Whale","Balaenoptera musculus","SPECIES","Mammalia",2440735
"E","Whale, finbackÂ Wherever found                          (Balaenoptera physalus)","animal","Whale","Balaenoptera physalus","SPECIES","Mammalia",2440718
"E","Whale, spermÂ Wherever found                          (Physeter catodon (=macrocephalus))","animal","Whale","Physeter catodon","SPECIES","Mammalia",8123917
"E","Wolf, grayÂ U.S.A.: All of AL, AR, CA, CO, CT, DE, FL, GA, IA, IN, IL, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, ND, NE, NH, NJ, NV, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, and WV; and portions of AZ, NM, OR, UT, and WA. Mexico.                          (Canis lupus)","animal","Wolf","Canis lupus","SPECIES","Mammalia",5219173
"E","Woodrat, riparian (=San Joaquin Valley)Â Wherever found                          (Neotoma fuscipes riparia)","animal","Woodrat","Neotoma fuscipes riparia","SUBSPECIES","Mammalia",2438455
"E","Allocarya, Calistoga (Plagiobothrys strictus)","plant","Allocarya","Plagiobothrys strictus","SPECIES","Magnoliopsida",2925730
"E","Alopecurus, Sonoma (Alopecurus aequalis var. sonomensis)","plant","Alopecurus","Alopecurus aequalis  sonomensis","SUBSPECIES","Liliopsida",5290083
"E","Ambrosia, San Diego (Ambrosia pumila)","plant","Ambrosia","Ambrosia pumila","SPECIES","Magnoliopsida",3110581
"T","amole, purple (Chlorogalum purpureum)","plant","amole","Chlorogalum purpureum","SPECIES","Liliopsida",2772632
"T","Baccharis, Encinitas (Baccharis vanessae)","plant","Baccharis","Baccharis vanessae","SPECIES","Magnoliopsida",3129531
"E","Barberry, Nevin's (Berberis nevinii)","plant","Barberry","Berberis nevinii","SPECIES","Magnoliopsida",3033885
"E","Barberry, island (Berberis pinnata ssp. insularis)","plant","Barberry","Berberis pinnata  insularis","SUBSPECIES","Magnoliopsida",3033899
"E","Bedstraw, island (Galium buxifolium)","plant","Bedstraw","Galium buxifolium","SPECIES","Magnoliopsida",2915064
"E","Bedstraw, El Dorado (Galium californicum ssp. sierrae)","plant","Bedstraw","Galium californicum  sierrae","SUBSPECIES","Magnoliopsida",2914281
"E","Bird's beak, palmate-bracted (Cordylanthus palmatus)","plant","Bird's beak","Cordylanthus palmatus","SPECIES","Magnoliopsida",6069340
"E","Bird's-beak, salt marsh (Cordylanthus maritimus ssp. maritimus)","plant","Bird's-beak","Cordylanthus maritimus  maritimus","SUBSPECIES","Magnoliopsida",3731007
"E","Bird's-beak, soft (Cordylanthus mollis ssp. mollis)","plant","Bird's-beak","Cordylanthus mollis  mollis","SUBSPECIES","Magnoliopsida",3730991
"E","Bird's-beak, Pennell's (Cordylanthus tenuis ssp. capillaris)","plant","Bird's-beak","Cordylanthus tenuis  capillaris","SUBSPECIES","Magnoliopsida",5414580
"E","Bladderpod, San Bernardino Mountains (Lesquerella kingii ssp. bernardina)","plant","Bladderpod","Lesquerella kingii  bernardina","SUBSPECIES","Magnoliopsida",3048936
"T","Bluecurls, Hidden Lake (Trichostema austromontanum ssp. compactum)","plant","Bluecurls","Trichostema austromontanum  compactum","SUBSPECIES","Magnoliopsida",8395135
"E","Bluegrass, San Bernardino (Poa atropurpurea)","plant","Bluegrass","Poa atropurpurea","SPECIES","Liliopsida",2704253
"E","Bluegrass, Napa (Poa napensis)","plant","Bluegrass","Poa napensis","SPECIES","Liliopsida",2704313
"T","Brodiaea, thread-leaved (Brodiaea filifolia)","plant","Brodiaea","Brodiaea filifolia","SPECIES","Liliopsida",2767708
"T","Brodiaea, Chinese Camp (Brodiaea pallida)","plant","Brodiaea","Brodiaea pallida","SPECIES","Liliopsida",2767716
"E","Buckwheat, Ione (incl. Irish Hill) (Eriogonum apricum (incl. var. prostratum))","plant","Buckwheat","Eriogonum apricum","SPECIES","Magnoliopsida",2889653
"E","Bush-mallow, San Clemente Island (Malacothamnus clementinus)","plant","Bush-mallow","Malacothamnus clementinus","SPECIES","Magnoliopsida",3152337
"T","Butterweed, Layne's (Senecio layneae)","plant","Butterweed","Senecio layneae","SPECIES","Magnoliopsida",3113963
"E","Button-celery, San Diego (Eryngium aristulatum var. parishii)","plant","Button-celery","Eryngium aristulatum  parishii","SUBSPECIES","Magnoliopsida",3034394
"E","Cactus, Bakersfield (Opuntia treleasei)","plant","Cactus","Opuntia treleasei","SPECIES","Magnoliopsida",5384070
"E","Ceanothus, coyote (Ceanothus ferrisae)","plant","Ceanothus","Ceanothus ferrisae","SPECIES","Magnoliopsida",3039371
"T","Ceanothus, Vail Lake (Ceanothus ophiochilus)","plant","Ceanothus","Ceanothus ophiochilus","SPECIES","Magnoliopsida",3039362
"E","Ceanothus, Pine Hill (Ceanothus roderickii)","plant","Ceanothus","Ceanothus roderickii","SPECIES","Magnoliopsida",3039353
"E","Checker-mallow, Keck's (Sidalcea keckii)","plant","Checker-mallow","Sidalcea keckii","SPECIES","Magnoliopsida",3152727
"E","Checker-mallow, Kenwood Marsh (Sidalcea oregana ssp. valida)","plant","Checker-mallow","Sidalcea oregana  valida","SUBSPECIES","Magnoliopsida",3152741
"E","Checker-mallow, pedate (Sidalcea pedata)","plant","Checker-mallow","Sidalcea pedata","SPECIES","Magnoliopsida",3152729
"E","Clarkia, Presidio (Clarkia franciscana)","plant","Clarkia","Clarkia franciscana","SPECIES","Magnoliopsida",7536977
"E","Clarkia, Vine Hill (Clarkia imbricata)","plant","Clarkia","Clarkia imbricata","SPECIES","Magnoliopsida",7567029
"E","Clarkia, Pismo (Clarkia speciosa ssp. immaculata)","plant","Clarkia","Clarkia speciosa  immaculata","SUBSPECIES","Magnoliopsida",5420940
"T","Clarkia, Springville (Clarkia springvillensis)","plant","Clarkia","Clarkia springvillensis","SPECIES","Magnoliopsida",5420955
"E","Clover, showy Indian (Trifolium amoenum)","plant","Clover","Trifolium amoenum","SPECIES","Magnoliopsida",5359503
"E","Clover, Monterey (Trifolium trichocalyx)","plant","Clover","Trifolium trichocalyx","SPECIES","Magnoliopsida",5358766
"T","Crownbeard, big-leaved (Verbesina dissita)","plant","Crownbeard","Verbesina dissita","SPECIES","Magnoliopsida",3148061
"T","Cypress, Santa Cruz (Cupressus abramsiana)","plant","Cypress","Cupressus abramsiana","SPECIES","Pinopsida",2684012
"T","Daisy, Parish's (Erigeron parishii)","plant","Daisy","Erigeron parishii","SPECIES","Magnoliopsida",3146623
"T","Dudleya, Conejo (Dudleya abramsii ssp. parva)","plant","Dudleya","Dudleya abramsii  parva","SUBSPECIES","Magnoliopsida",2985885
"T","Dudleya, marcescent (Dudleya cymosa ssp. marcescens)","plant","Dudleya","Dudleya cymosa  marcescens","SUBSPECIES","Magnoliopsida",2985887
"T","Dudleya, Santa Monica Mountains (Dudleya cymosa ssp. ovatifolia)","plant","Dudleya","Dudleya cymosa  ovatifolia","SUBSPECIES","Magnoliopsida",2985887
"T","Dudleya, Santa Cruz Island (Dudleya nesiotica)","plant","Dudleya","Dudleya nesiotica","SPECIES","Magnoliopsida",2985880
"E","Dudleya, Santa Clara Valley (Dudleya setchellii)","plant","Dudleya","Dudleya setchellii","SPECIES","Magnoliopsida",2985885
"T","Dudleya, Verity's (Dudleya verityi)","plant","Dudleya","Dudleya verityi","SPECIES","Magnoliopsida",2985882
"T","Dwarf-flax, Marin (Hesperolinon congestum)","plant","Dwarf-flax","Hesperolinon congestum","SPECIES","Magnoliopsida",2873830
"T","Evening-primrose, San Benito (Camissonia benitensis)","plant","Evening-primrose","Camissonia benitensis","SPECIES","Magnoliopsida",3188992
"E","Evening-primrose, Eureka Valley (Oenothera avita ssp. eurekensis)","plant","Evening-primrose","Oenothera avita  eurekensis","SUBSPECIES","Magnoliopsida",6428053
"E","Evening-primrose, Antioch Dunes (Oenothera deltoides ssp. howellii)","plant","Evening-primrose","Oenothera deltoides  howellii","SUBSPECIES","Magnoliopsida",3188882
"E","Fiddleneck, large-flowered (Amsinckia grandiflora)","plant","Fiddleneck","Amsinckia grandiflora","SPECIES","Magnoliopsida",2925886
"E","Flannelbush, Pine Hill (Fremontodendron californicum ssp. decumbens)","plant","Flannelbush","Fremontodendron californicum  decumbens","SUBSPECIES","Magnoliopsida",3152160
"E","Flannelbush, Mexican (Fremontodendron mexicanum)","plant","Flannelbush","Fremontodendron mexicanum","SPECIES","Magnoliopsida",3152158
"E","Fringepod, Santa Cruz Island (Thysanocarpus conchuliferus)","plant","Fringepod","Thysanocarpus conchuliferus","SPECIES","Magnoliopsida",3051409
"E","Fritillary, Gentner's (Fritillaria gentneri)","plant","Fritillary","Fritillaria gentneri","SPECIES","Liliopsida",5300355
"E","Gilia, Monterey (Gilia tenuiflora ssp. arenaria)","plant","Gilia","Gilia tenuiflora  arenaria","SUBSPECIES","Magnoliopsida",5341581
"E","Gilia, Hoffmann's slender-flowered (Gilia tenuiflora ssp. hoffmannii)","plant","Gilia","Gilia tenuiflora  hoffmannii","SUBSPECIES","Magnoliopsida",5341581
"E","Goldfields, Burke's (Lasthenia burkei)","plant","Goldfields","Lasthenia burkei","SPECIES","Magnoliopsida",3144226
"E","Goldfields, Contra Costa (Lasthenia conjugens)","plant","Goldfields","Lasthenia conjugens","SPECIES","Magnoliopsida",3144243
"T","Grass, Colusa (Neostapfia colusana)","plant","Grass","Neostapfia colusana","SPECIES","Liliopsida",2705471
"E","Grass, Eureka Dune (Swallenia alexandrae)","plant","Grass","Swallenia alexandrae","SPECIES","Liliopsida",2702720
"E","Grass, Solano (Tuctoria mucronata)","plant","Grass","Tuctoria mucronata","SPECIES","Liliopsida",2704087
"T","Howellia, water (Howellia aquatilis)","plant","Howellia","Howellia aquatilis","SPECIES","Magnoliopsida",3161535
"T","Indian paintbrush, San Clemente Island (Castilleja grisea)","plant","Indian paintbrush","Castilleja grisea","SPECIES","Magnoliopsida",3170640
"T","Ivesia, Webber (Ivesia webberi)","plant","Ivesia","Ivesia webberi","SPECIES","Magnoliopsida",5370063
"E","Jewelflower, California (Caulanthus californicus)","plant","Jewelflower","Caulanthus californicus","SPECIES","Magnoliopsida",3042041
"E","Jewelflower, Metcalf Canyon (Streptanthus albidus ssp. albidus)","plant","Jewelflower","Streptanthus albidus  albidus","SUBSPECIES","Magnoliopsida",3041603
"E","Jewelflower, Tiburon (Streptanthus niger)","plant","Jewelflower","Streptanthus niger","SPECIES","Magnoliopsida",3041603
"E","Larkspur, Baker's (Delphinium bakeri)","plant","Larkspur","Delphinium bakeri","SPECIES","Magnoliopsida",3033732
"E","Larkspur, yellow (Delphinium luteum)","plant","Larkspur","Delphinium luteum","SPECIES","Magnoliopsida",3033702
"E","Larkspur, San Clemente Island (Delphinium variegatum ssp. kinkiense)","plant","Larkspur","Delphinium egatum  kinkiense","SPECIES","Magnoliopsida",3033757
"E","Layia, beach (Layia carnosa)","plant","Layia","Layia carnosa","SPECIES","Magnoliopsida",5392987
"E","Lessingia, San Francisco (Lessingia germanorum (=L.g. var. germanorum))","plant","Lessingia","Lessingia germanorum","SPECIES","Magnoliopsida",3095712
